Country,srcYear,srcMonth,srcCalendarDay,srcStateName,Name of the power station,Monitored capacity,Available capacity,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Power generation under (Dated) program,Power generation under till date actual,Coal Stock,Capacity under outage,Maintenance Start Date,Expected date or synchronize date
India,2026,Jan-2026,22-Jan-2026,Telangana,RAMAGUNDEM STPS_Unit 2,200,200,3.81,3.51,1173.82,811.11,21,0,,
India,2022,Jul-2022,10-Jul-2022,Bihar,BARAUNI TPS_Unit 8,250,250,2.81,5.76,279.1,441.15,11,0,22/05/2021 21:45,
India,2017,Sep-2017,22-Sep-2017,Uttar Pradesh,SINGRAULI STPS_Unit 6,500,500,10.93,10.53,1913.46,1876.27,,0,,
India,2021,May-2021,13-May-2021,Uttar Pradesh,DADRI (NCTPP)_Unit 5,490,490,2.84,6.62,122.92,325.14,15,0,,
India,2022,Sep-2022,13-Sep-2022,Uttar Pradesh,UNCHAHAR TPS_Unit 3,210,210,3.07,3.7,514.91,635.51,3,0,,
India,2018,Sep-2018,04-Sep-2018,Maharashtra,MAUDA TPS_Unit 3,660,660,4.87,10.98,764.48,1517.45,,0,,
India,2023,Jul-23,31-Jul-23,Telangana,TELANGANA STPP_Unit 2,,,9.68,0,300,0,,0,,
India,2019,Dec-2019,17-Dec-2019,Uttar Pradesh,DADRI (NCTPP)_Unit 6,490,490,0,7.33,1949,1254.39,34,0,,
India,2020,Jan-2020,08-Jan-2020,Madhya Pradesh,VINDHYACHAL STPS_Unit 3,210,210,4.29,4.49,1104.32,1229.81,11,0,,
India,2024,May-2024,01-May-2024,Telangana,TELANGANA STPP PH-1_Unit 2,800,800,12.06,15.4,413.06,490.86,10,0,,
India,2025,Aug-2025,02-Aug-2025,Uttar Pradesh,SINGRAULI STPS_Unit 3,200,0,4.48,2.82,556.96,521.08,22,200,30/07/2025 18:18,02/08/2025 6:05
India,2021,Sep-2021,07-Sep-2021,Uttar Pradesh,RIHAND STPS_Unit 5,500,500,11.43,11.66,1384.01,1787.87,7,0,,
India,2021,Jan-2021,28-Jan-2021,Odisha,TALCHER (OLD) TPS_Unit 2,60,60,1.06,1.43,291.68,390.68,17,0,,
India,2020,Jun-2020,15-Jun-2020,Uttar Pradesh,AURAIYA CCPP,663.36,333.57,0.77,10.59,71.51,394.8,,329.79,,
India,2024,Jan-2024,13-Jan-2024,Bihar,BARAUNI TPS_Unit 8,250,0,4.77,0,1371.01,1142.46,18,250,12/01/2024 16:47,14/01/2024 00:00
India,2021,Jun-2021,07-Jun-2021,Uttar Pradesh,RIHAND STPS_Unit 3,500,500,10.23,12.04,696.61,780.55,14,0,,
India,2024,Apr-2024,28-Apr-2024,Chhattisgarh,SIPAT STPS_Unit 5,500,500,11.23,11.77,314.44,318.03,18,0,,
India,2025,Jul-2025,05-Jul-2025,Uttar Pradesh,SINGRAULI STPS_Unit 6,500,500,11.29,9.99,1086.45,896.97,13,0,,
India,2017,Nov-2017,15-Nov-2017,Madhya Pradesh,VINDHYACHAL STPS_Unit 2,210,210,3.63,5.01,829.45,1091.69,,0,,
India,2023,Feb-2023,05-Feb-2023,Bihar,BARAUNI TPS_Unit 7,105,0,1.14,0,345.7,0,10,105,19/02/2022 19:30,
India,2019,Oct-2019,05-Oct-2019,Chhattisgarh,KORBA STPS_Unit 7,500,500,10.39,11.87,1590.95,1681.73,1,0,,
India,2023,Jul-23,03-Jul-23,Assam,BONGAIGAON TPP_Unit 1,250,250,5.74,5.16,539.22,450.36,13,0,,
India,2023,Sep-2023,16-Sep-2023,Uttar Pradesh,DADRI (NCTPP)_Unit 1,210,210,4.03,3.38,713.48,493.18,9,0,,
India,2021,Jul-2021,22-Jul-2021,Uttar Pradesh,DADRI (NCTPP)_Unit 3,210,0,1.26,0,141.72,203.64,9,210,19/07/2021 13:08,26/07/2021 00:00
India,2021,Feb-2021,19-Feb-2021,Uttar Pradesh,SINGRAULI STPS_Unit 3,200,200,4.64,4.89,1373.16,1454.15,15,0,,
India,2018,Jul-2018,02-Jul-2018,Uttar Pradesh,TANDA TPS_Unit 4,110,0,0,0,182,160.44,,110,01/07/2018 0:04,
India,2025,May-2025,20-May-2025,Chhattisgarh,KORBA STPS_Unit 6,500,500,11.52,10.65,574.4,538.18,11,0,,
India,2020,Jul-2020,25-Jul-2020,Chhattisgarh,KORBA STPS_Unit 1,200,200,4.1,4.88,511.5,542.83,14,0,,
India,2017,Sep-2017,10-Sep-2017,Chhattisgarh,SIPAT STPS_Unit 4,500,500,10.07,11.96,1640.7,1844.13,,0,,
India,2024,Nov-2024,18-Nov-2024,Haryana,FARIDABAD CCPP,431.59,0,0.39,0,100.02,215.37,,431.59,,
India,2020,Jun-2020,21-Jun-2020,Uttar Pradesh,SINGRAULI STPS_Unit 1,200,200,4.77,4.46,387.17,401.79,15,0,,
India,2019,Feb-2019,03-Feb-2019,Chhattisgarh,KORBA STPS_Unit 4,500,500,10.29,11.71,2811.87,2935.45,,0,,
India,2025,Feb-2025,16-Feb-2025,Madhya Pradesh,KHARGONE STPP_Unit 1,660,660,12.36,10.74,3968.76,3456.65,20,0,,
India,2019,Jul-2019,14-Jul-2019,Odisha,DARLIPALI STPS_Unit 2,0,0,0,0,0,0,,0,,
India,2025,Apr-2025,09-Apr-2025,Bihar,KAHALGAON TPS_Unit 3,210,210,4.5,4.51,40.5,40.94,22,0,,
India,2020,Jan-2020,31-Jan-2020,Madhya Pradesh,KHARGONE STPP_Unit 2,0,0,0,0,0,0,,0,,
India,2022,Feb-2022,03-Feb-2022,Jharkhand,NORTH KARANPURA TPP_Unit 1,0,0,2.64,0,251.92,0,,0,,
India,2023,Jan-2023,10-Jan-2023,Uttar Pradesh,TANDA TPS_Unit 4,110,110,1.87,2.24,448.7,354.31,10,0,,
India,2022,Nov-2022,25-Nov-2022,Andhra Pradesh,SIMHADRI_Unit 1,500,500,5.97,9.3,1592.25,2224.07,28,0,,
India,2020,Dec-2020,09-Dec-2020,Uttar Pradesh,UNCHAHAR TPS_Unit 2,210,0,3.16,0,682.44,407.91,24,210,21/10/2020 21:11,10/12/2020 0:00
India,2023,Mar-2023,10-Mar-2023,Chhattisgarh,SIPAT STPS_Unit 2,660,660,16.87,15.44,4644.7,4285.46,17,0,,
India,2019,Sep-2019,11-Sep-2019,Uttar Pradesh,TANDA TPS_Unit 1,110,0,0,0,296,315.01,39,110,02/09/2019 1:44,
India,2018,Apr-2018,30-Apr-2018,Chhattisgarh,KORBA STPS_Unit 7,500,500,9.67,11.82,290,356.16,,0,,
India,2018,Mar-2018,01-Mar-2018,Madhya Pradesh,VINDHYACHAL STPS_Unit 12,500,500,9.32,12.18,2871.32,3498.65,,0,,
India,2018,Nov-2018,22-Nov-2018,Telangana,RAMAGUNDEM STPS_Unit 2,200,200,4.13,4.45,974.86,1001.22,,0,,
India,2025,Aug-2025,30-Aug-2025,Uttar Pradesh,SINGRAULI STPS_Unit 6,500,0,11.29,0,1718.7,1018.58,22,500,18/07/2025 01:50,
India,2022,Mar-2022,18-Mar-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 4,210,210,4.32,5.09,1518.76,1621.8,25,0,,
India,2024,May-2024,29-May-2024,Telangana,RAMAGUNDEM STPS_Unit 2,200,200,4.42,3.42,260.18,217.65,18,0,,
India,2024,Jan-2024,16-Jan-2024,Madhya Pradesh,KHARGONE STPP_Unit 1,660,660,12.58,12.88,3302.28,2854.48,27,0,,
India,2025,Dec-2025,10-Dec-2025,Uttar Pradesh,TANDA TPS_Unit 4,110,0,1.52,0,415.2,242.75,26,110,31/08/2025 23.58.00,
India,2021,Jan-2021,23-Jan-2021,Odisha,TALCHER (OLD) TPS_Unit 3,60,60,1.16,1.44,352.68,378.88,21,0,,
India,2021,May-2021,29-May-2021,Chhattisgarh,SIPAT STPS_Unit 1,660,660,15.45,15.79,911.05,785.15,9,0,,
India,2018,Feb-2018,03-Feb-2018,Uttar Pradesh,TANDA TPS_Unit 2,110,110,2.11,2.48,657.33,735,,0,,
India,2025,Mar-2025,20-Mar-2025,Bihar,KAHALGAON TPS_Unit 2,210,210,4.77,4.48,1547.4,1449.42,19,0,,
India,2025,Jun-2025,25-Jun-2025,Uttar Pradesh,SINGRAULI STPS_Unit 2,200,200,4.47,4.31,383.75,363.92,17,0,,
India,2022,Feb-2022,10-Feb-2022,Madhya Pradesh,GADARWARA TPP_Unit 1,800,800,11.82,13.62,3321.2,3142.65,11,0,,
India,2025,Mar-2025,06-Mar-2025,Andhra Pradesh,SIMHADRI_Unit 3,500,500,9.61,10.81,3259.66,3137.37,10,0,,
India,2022,Aug-2022,11-Aug-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 7,500,500,10.23,10.03,1360.53,1494.57,16,0,,
India,2019,Apr-2019,14-Apr-2019,Madhya Pradesh,VINDHYACHAL STPS_Unit 6,210,210,4.37,5.04,61.18,61.77,20,0,,
India,2022,Feb-2022,20-Feb-2022,Uttar Pradesh,UNCHAHAR TPS_Unit 2,210,0,2.5,0,723,748.49,19,210,18/02/2022 20:08,22/02/2022 00:00
India,2022,Jan-2022,10-Jan-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 10,500,500,10.29,10.61,2925.9,3129.85,18,0,,
India,2021,Mar-2021,08-Mar-2021,Uttar Pradesh,DADRI (NCTPP)_Unit 2,210,0,2.35,0,795.8,124.28,16,210,27/09/2020 12:44,09/03/2021 0:00
India,2024,Oct-2024,14-Oct-2024,Uttar Pradesh,TANDA TPS_Unit 4,110,0,1.77,0,389.78,239.96,18,110,14/09/2024 16:15,16/10/2024 00:00
